ID,Sexo,Ciudad,Asistencia,Nota_Final,Situación_Laboral,Nivel_Educativo_Prev,Conectividad_Hogar,Rango_Etario,Estado_Académico
L-2025-1515,M,Merlo,35,"6,45",Empleado en relación de dependencia,Secundario completo,Si,35 a 44,Aprobado
L-2025-1516,F,General San Martín,33,"5,70",Empleo informal,Terciario completo,No,35 a 44,Desaprobado
L-2025-1517,M,Almirante Brown,34,"4,53",Monotributista / independiente,Primario completo,Si,35 a 44,Desaprobado
L-2025-1518,F,Lomas de Zamora,38,"4,82",Desempleado,Sin escolaridad formal,Si,55 y más,Desaprobado
L-2025-1519,M,Avellaneda,33,"8,23",Ama de casa / tareas de cuidado,Universitario incompleto,Si,25 a 34,Aprobado
L-2025-1520,F,La Plata,16,"8,70",Empleado en relación de dependencia,Universitario incompleto,No,25 a 34,Aprobado
L-2025-1521,M,Lanús,35,"9,16",Empleo informal,Secundario incompleto,Si,45 a 54,Destacado
L-2025-1522,M,Almirante Brown,37,"4,64",Desempleado,Secundario completo,Si,35 a 44,Desaprobado
L-2025-1523,F,La Matanza,36,"5,59",Desempleado,Terciario en curso,Si,25 a 34,Desaprobado
L-2025-1524,F,La Plata,36,"5,94",Empleo informal,Secundario completo,Si,18 a 24,Desaprobado
L-2025-1525,F,Lanús,38,"7,42",Empleo informal,Secundario incompleto,No,25 a 34,Aprobado
L-2025-1526,M,Mar del Plata,33,"6,12",Desempleado,Secundario completo,Si,25 a 34,Aprobado
L-2025-1527,F,La Matanza,32,"4,60",Ama de casa / tareas de cuidado,Terciario en curso,Si,55 y más,Desaprobado
L-2025-1528,F,Lomas de Zamora,35,"7,68",Empleo informal,Secundario completo,Si,25 a 34,Aprobado
L-2025-1529,M,Avellaneda,31,"8,16",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Aprobado
L-2025-1530,F,Avellaneda,36,"8,07",Monotributista / independiente,Secundario completo,Si,25 a 34,Aprobado
L-2025-1531,F,Lanús,17,"7,83",Empleado en relación de dependencia,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1532,M,Lomas de Zamora,34,"8,25",Ama de casa / tareas de cuidado,Universitario completo,Si,25 a 34,Aprobado
L-2025-1533,M,General San Martín,33,"8,39",Monotributista / independiente,Secundario completo,Si,25 a 34,Aprobado
L-2025-1534,F,Lomas de Zamora,34,"6,89",Empleado en relación de dependencia,Primario incompleto,No,25 a 34,Aprobado
L-2025-1535,F,Mar del Plata,18,"6,77",Empleado en relación de dependencia,Secundario completo,Si,18 a 24,Aprobado
L-2025-1536,F,Lomas de Zamora,32,"7,97",Monotributista / independiente,Secundario completo,No,25 a 34,Aprobado
L-2025-1537,F,Lomas de Zamora,35,"10,00",Empleo informal,Universitario completo,Si,25 a 34,Destacado
L-2025-1538,M,La Matanza,34,"8,27",Ama de casa / tareas de cuidado,Secundario completo,Si,35 a 44,Aprobado
L-2025-1539,F,Quilmes,34,"9,33",Desempleado,Universitario incompleto,Si,25 a 34,Destacado
L-2025-1540,F,La Matanza,36,"8,68",Desempleado,Secundario completo,Si,25 a 34,Aprobado
L-2025-1541,M,Merlo,35,"6,27",Monotributista / independiente,Secundario incompleto,Si,35 a 44,Aprobado
L-2025-1542,M,Almirante Brown,36,"6,86",Ama de casa / tareas de cuidado,Primario incompleto,No,45 a 54,Aprobado
L-2025-1543,F,La Matanza,37,"7,31",Monotributista / independiente,Secundario completo,Si,18 a 24,Aprobado
L-2025-1544,F,Mar del Plata,35,"7,69",Monotributista / independiente,Sin escolaridad formal,Si,25 a 34,Aprobado
L-2025-1545,M,Quilmes,32,"5,26",Empleo informal,Terciario en curso,Si,35 a 44,Desaprobado
L-2025-1546,F,Mar del Plata,38,"4,39",Empleado en relación de dependencia,Secundario incompleto,Si,45 a 54,Destacado
L-2025-1547,M,Mar del Plata,23,"8,49",Ama de casa / tareas de cuidado,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1548,F,Merlo,36,"8,82",Desempleado,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1549,M,La Matanza,38,"6,88",Empleado en relación de dependencia,Secundario completo,Si,18 a 24,Aprobado
L-2025-1550,F,La Plata,15,"4,23",Empleado en relación de dependencia,Primario incompleto,Si,35 a 44,Desaprobado
L-2025-1551,F,Merlo,34,"9,43",Empleado en relación de dependencia,Terciario en curso,No,25 a 34,Destacado
L-2025-1552,F,La Matanza,36,"4,42",Monotributista / independiente,Universitario incompleto,No,35 a 44,Desaprobado
L-2025-1553,M,Quilmes,30,"6,72",Empleado en relación de dependencia,Secundario incompleto,Si,45 a 54,Aprobado
L-2025-1554,F,Quilmes,33,"7,31",Trabajos esporádicos,Universitario incompleto,Si,25 a 34,Aprobado
L-2025-1555,F,La Matanza,34,"6,37",Empleo informal,Secundario completo,No,35 a 44,Aprobado
L-2025-1556,M,Mar del Plata,33,"8,74",Empleado en relación de dependencia,Universitario incompleto,Si,45 a 54,Aprobado
L-2025-1557,M,La Plata,37,"7,30",Desempleado,Secundario completo,Si,45 a 54,Aprobado
L-2025-1558,M,La Matanza,40,"9,32",Desempleado,Terciario en curso,No,25 a 34,Destacado
L-2025-1559,M,Quilmes,33,"6,67",Ama de casa / tareas de cuidado,Universitario incompleto,Si,35 a 44,Aprobado
L-2025-1560,M,Lanús,18,"7,17",Empleado en relación de dependencia,Primario completo,Si,18 a 24,Aprobado
L-2025-1561,M,Mar del Plata,34,"9,76",Empleado en relación de dependencia,Terciario completo,Si,45 a 54,Destacado
L-2025-1562,M,Lomas de Zamora,18,"5,96",Empleado en relación de dependencia,Secundario completo,No,25 a 34,Desaprobado
L-2025-1563,F,La Plata,38,"5,76",Ama de casa / tareas de cuidado,Secundario incompleto,Si,55 y más,Desaprobado
L-2025-1564,M,Avellaneda,33,"7,36",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Aprobado
L-2025-1565,M,La Plata,39,"6,69",Desempleado,Secundario completo,Si,55 y más,Aprobado
L-2025-1566,F,Mar del Plata,34,"4,27",Monotributista / independiente,Sin escolaridad formal,No,25 a 34,Aprobado
L-2025-1567,F,La Plata,36,"7,97",Empleo informal,Secundario completo,Si,25 a 34,Aprobado
L-2025-1568,F,General San Martín,36,"8,43",Empleado en relación de dependencia,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1569,F,Avellaneda,38,"8,42",Ama de casa / tareas de cuidado,Secundario incompleto,Si,55 y más,Aprobado
L-2025-1570,F,Lomas de Zamora,30,"6,99",Monotributista / independiente,Secundario completo,Si,45 a 54,Aprobado
L-2025-1571,F,Mar del Plata,31,"9,57",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Destacado
L-2025-1572,M,La Matanza,33,"4,45",Ama de casa / tareas de cuidado,Secundario completo,No,25 a 34,Destacado
L-2025-1573,F,La Matanza,34,"9,11",Ama de casa / tareas de cuidado,Secundario completo,Si,18 a 24,Destacado
L-2025-1574,F,Almirante Brown,36,"4,39",Monotributista / independiente,Secundario incompleto,Si,35 a 44,Desaprobado
L-2025-1575,M,Lomas de Zamora,33,"6,36",Empleo informal,Universitario incompleto,Si,35 a 44,Aprobado
L-2025-1576,F,Merlo,35,"7,44",Monotributista / independiente,Terciario en curso,No,45 a 54,Aprobado
L-2025-1577,F,General San Martín,38,"6,33",Ama de casa / tareas de cuidado,Universitario incompleto,No,18 a 24,Aprobado
L-2025-1578,M,Lanús,34,"9,80",Desempleado,Universitario incompleto,Si,45 a 54,Destacado
L-2025-1579,M,La Plata,37,"4,31",Ama de casa / tareas de cuidado,Secundario completo,Si,35 a 44,Desaprobado
L-2025-1580,M,Lomas de Zamora,35,"6,48",Empleado en relación de dependencia,Secundario completo,Si,35 a 44,Aprobado
L-2025-1581,M,Mar del Plata,37,"8,57",Monotributista / independiente,Terciario completo,No,25 a 34,Aprobado
L-2025-1582,F,General San Martín,32,"7,62",Empleo informal,Terciario en curso,Si,45 a 54,Aprobado
L-2025-1583,F,La Plata,35,"9,66",Monotributista / independiente,Secundario completo,Si,45 a 54,Destacado
L-2025-1584,M,General San Martín,21,"3,72",Empleado en relación de dependencia,Secundario completo,Si,55 y más,Desaprobado
L-2025-1585,M,Mar del Plata,33,"9,71",Empleo informal,Universitario incompleto,No,45 a 54,Destacado
L-2025-1586,M,La Plata,31,"8,08",Empleado en relación de dependencia,Universitario incompleto,Si,45 a 54,Aprobado
L-2025-1587,M,La Matanza,36,"8,47",Monotributista / independiente,Terciario completo,Si,25 a 34,Aprobado
L-2025-1588,F,Avellaneda,33,"6,88",Empleado en relación de dependencia,Primario incompleto,Si,55 y más,Aprobado
L-2025-1589,F,Mar del Plata,21,"5,64",Trabajos esporádicos,Secundario completo,Si,18 a 24,Desaprobado
L-2025-1590,M,Avellaneda,34,"8,14",Empleo informal,Secundario completo,No,25 a 34,Aprobado
L-2025-1591,M,La Plata,31,"5,06",Empleado en relación de dependencia,Secundario completo,Si,55 y más,Desaprobado
L-2025-1592,F,Merlo,35,"8,54",Trabajos esporádicos,Secundario completo,Si,25 a 34,Aprobado
L-2025-1593,F,Lomas de Zamora,20,"4,98",Ama de casa / tareas de cuidado,Universitario completo,Si,35 a 44,Desaprobado
L-2025-1594,F,Mar del Plata,32,"7,63",Empleado en relación de dependencia,Secundario incompleto,No,25 a 34,Aprobado
L-2025-1595,F,Mar del Plata,38,"7,81",Desempleado,Terciario completo,Si,25 a 34,Aprobado
L-2025-1596,M,La Plata,34,"7,12",Ama de casa / tareas de cuidado,Secundario completo,No,25 a 34,Aprobado
L-2025-1597,F,Avellaneda,35,"9,22",Desempleado,Secundario completo,Si,25 a 34,Destacado
L-2025-1598,F,Quilmes,35,"5,17",Trabajos esporádicos,Secundario incompleto,Si,18 a 24,Desaprobado
L-2025-1599,F,La Matanza,17,"5,33",Ama de casa / tareas de cuidado,Secundario incompleto,Si,35 a 44,Desaprobado
L-2025-1600,M,Lomas de Zamora,36,"5,09",Empleo informal,Terciario en curso,Si,35 a 44,Desaprobado
L-2025-1601,M,Quilmes,34,"5,25",Desempleado,Universitario incompleto,Si,55 y más,Desaprobado
L-2025-1602,F,General San Martín,34,"6,19",Empleado en relación de dependencia,Sin escolaridad formal,No,18 a 24,Aprobado
L-2025-1603,F,La Plata,35,"7,58",Monotributista / independiente,Universitario incompleto,Si,25 a 34,Aprobado
L-2025-1604,M,Mar del Plata,36,"9,19",Desempleado,Secundario completo,Si,25 a 34,Destacado
L-2025-1605,M,La Plata,35,"4,72",Empleado en relación de dependencia,Secundario completo,Si,55 y más,Desaprobado
L-2025-1606,F,Mar del Plata,32,"2,85",Empleo informal,Primario completo,Si,55 y más,Desaprobado
L-2025-1607,M,General San Martín,36,"8,28",Empleado en relación de dependencia,Secundario incompleto,Si,45 a 54,Aprobado
L-2025-1608,F,Almirante Brown,31,"5,34",Empleado en relación de dependencia,Universitario incompleto,No,18 a 24,Desaprobado
L-2025-1609,M,La Plata,34,"6,75",Desempleado,Secundario completo,Si,25 a 34,Aprobado
L-2025-1610,F,Almirante Brown,37,"8,26",Empleado en relación de dependencia,Primario completo,Si,25 a 34,Aprobado
L-2025-1611,F,Almirante Brown,18,"8,83",Empleado en relación de dependencia,Universitario completo,Si,25 a 34,Aprobado
L-2025-1612,M,La Plata,38,"8,95",Empleado en relación de dependencia,Secundario completo,Si,45 a 54,Aprobado
L-2025-1613,F,Almirante Brown,35,"6,13",Monotributista / independiente,Terciario en curso,Si,55 y más,Aprobado
L-2025-1614,F,Mar del Plata,38,,Empleo informal,Secundario completo,Si,25 a 34,Aprobado
L-2025-1615,M,La Plata,37,"7,53",Ama de casa / tareas de cuidado,Terciario en curso,Si,35 a 44,Aprobado
L-2025-1616,F,Mar del Plata,18,"3,79",Ama de casa / tareas de cuidado,Secundario completo,No,35 a 44,Desaprobado
L-2025-1617,F,Lomas de Zamora,32,"9,22",Ama de casa / tareas de cuidado,Terciario en curso,Si,25 a 34,Destacado
L-2025-1618,F,Merlo,35,"6,96",Trabajos esporádicos,Primario incompleto,Si,25 a 34,Aprobado
L-2025-1619,F,La Plata,35,"6,33",Desempleado,Secundario completo,Si,35 a 44,Aprobado
L-2025-1620,F,La Plata,37,"7,78",Desempleado,Primario completo,Si,35 a 44,Aprobado
L-2025-1621,F,Lomas de Zamora,39,"8,09",Monotributista / independiente,Primario completo,Si,25 a 34,Aprobado
L-2025-1622,F,Mar del Plata,34,"6,40",Empleado en relación de dependencia,Universitario incompleto,No,18 a 24,Aprobado
L-2025-1623,M,La Matanza,21,"7,95",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Aprobado
L-2025-1624,F,Mar del Plata,32,"5,58",Empleo informal,Terciario en curso,Si,35 a 44,Desaprobado
L-2025-1625,F,Mar del Plata,36,"5,14",Monotributista / independiente,Secundario incompleto,Si,35 a 44,Desaprobado
L-2025-1626,M,Mar del Plata,20,"5,91",Empleado en relación de dependencia,Secundario completo,Si,18 a 24,Desaprobado
L-2025-1627,F,Lomas de Zamora,32,"7,46",Ama de casa / tareas de cuidado,Secundario completo,No,45 a 54,Aprobado
L-2025-1628,F,La Matanza,38,"8,41",Desempleado,Secundario completo,Si,25 a 34,Aprobado
L-2025-1629,M,Mar del Plata,35,"7,93",Empleo informal,Secundario completo,Si,25 a 34,Aprobado
L-2025-1630,F,Merlo,36,"4,74",Empleado en relación de dependencia,Universitario incompleto,No,35 a 44,Desaprobado
L-2025-1631,F,Avellaneda,34,"9,28",Empleo informal,Universitario incompleto,Si,25 a 34,Destacado
L-2025-1632,F,Merlo,32,"7,03",Empleado en relación de dependencia,Secundario incompleto,Si,35 a 44,Aprobado
L-2025-1633,F,Lomas de Zamora,36,"5,00",Empleado en relación de dependencia,Secundario completo,No,55 y más,Desaprobado
L-2025-1634,F,La Matanza,37,"6,10",No declara,Secundario completo,Si,25 a 34,Aprobado
L-2025-1635,F,Mar del Plata,18,"6,22",Empleado en relación de dependencia,Primario completo,Si,45 a 54,Aprobado
L-2025-1636,M,La Matanza,29,"7,70",Monotributista / independiente,Universitario incompleto,Si,45 a 54,Aprobado
L-2025-1637,M,La Matanza,36,"4,25",Empleo informal,Universitario completo,Si,35 a 44,Desaprobado
L-2025-1638,M,Mar del Plata,36,"6,54",Desempleado,Universitario incompleto,Si,25 a 34,Aprobado
L-2025-1639,F,Lomas de Zamora,34,"9,73",Monotributista / independiente,Secundario completo,Si,25 a 34,Destacado
L-2025-1640,F,Mar del Plata,35,"6,51",Empleo informal,Universitario completo,Si,25 a 34,Aprobado
L-2025-1641,M,La Matanza,35,"5,20",Monotributista / independiente,Terciario en curso,Si,25 a 34,Desaprobado
L-2025-1642,F,Quilmes,18,"7,58",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Aprobado
L-2025-1643,M,La Matanza,23,"8,04",Ama de casa / tareas de cuidado,Universitario incompleto,No,35 a 44,Aprobado
L-2025-1644,F,La Plata,17,"7,92",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Aprobado
L-2025-1645,F,Merlo,38,"5,71",Desempleado,Primario incompleto,No,35 a 44,Desaprobado
L-2025-1646,M,Quilmes,34,"4,89",Empleo informal,Universitario incompleto,Si,18 a 24,Desaprobado
L-2025-1647,M,General San Martín,32,"8,43",Ama de casa / tareas de cuidado,Secundario completo,Si,25 a 34,Aprobado
L-2025-1648,F,La Matanza,34,"10,00",Monotributista / independiente,Secundario completo,Si,25 a 34,Destacado
L-2025-1649,M,La Matanza,35,"4,11",Empleo informal,Primario completo,Si,18 a 24,Desaprobado
L-2025-1650,F,Quilmes,35,"7,93",Desempleado,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1651,M,General San Martín,18,"4,12",Ama de casa / tareas de cuidado,Secundario incompleto,Si,35 a 44,Desaprobado
L-2025-1652,F,Quilmes,18,"8,84",Empleado en relación de dependencia,Secundario completo,Si,55 y más,Aprobado
L-2025-1653,M,La Matanza,34,"8,63",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Aprobado
L-2025-1654,F,General San Martín,33,"6,88",Desempleado,Primario incompleto,No,45 a 54,Aprobado
L-2025-1655,M,Quilmes,35,"9,12",Monotributista / independiente,Secundario incompleto,Si,25 a 34,Destacado
L-2025-1656,F,La Matanza,33,"7,08",Desempleado,Secundario completo,Si,35 a 44,Aprobado
L-2025-1657,F,Lomas de Zamora,40,"8,29",Monotributista / independiente,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1658,M,Avellaneda,31,"9,20",Empleo informal,Primario completo,Si,45 a 54,Destacado
L-2025-1659,M,La Plata,38,"5,14",Ama de casa / tareas de cuidado,Primario completo,Si,35 a 44,Desaprobado
L-2025-1660,F,La Plata,17,"9,23",Empleado en relación de dependencia,Terciario en curso,Si,25 a 34,Destacado
L-2025-1661,F,Quilmes,38,"3,55",No declara,Secundario incompleto,Si,18 a 24,Desaprobado
L-2025-1662,F,Mar del Plata,36,"7,87",Empleo informal,Secundario completo,Si,25 a 34,Aprobado
L-2025-1663,F,Mar del Plata,33,"9,05",Empleado en relación de dependencia,Secundario completo,No,45 a 54,Destacado
L-2025-1664,M,Avellaneda,37,"8,13",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Aprobado
L-2025-1665,M,La Plata,34,"5,41",Empleado en relación de dependencia,Secundario completo,Si,55 y más,Desaprobado
L-2025-1666,F,Merlo,33,"4,20",Monotributista / independiente,Secundario completo,No,35 a 44,Desaprobado
L-2025-1667,M,Lomas de Zamora,35,"7,27",Monotributista / independiente,Secundario completo,Si,25 a 34,Aprobado
L-2025-1668,M,La Plata,36,"8,41",No declara,Secundario incompleto,Si,45 a 54,Aprobado
L-2025-1669,F,Almirante Brown,32,"5,81",Empleado en relación de dependencia,Secundario incompleto,No,25 a 34,Desaprobado
L-2025-1670,M,Lanús,35,"5,75",No declara,Terciario en curso,Si,35 a 44,Desaprobado
L-2025-1671,F,La Matanza,34,"6,29",Monotributista / independiente,Secundario completo,No,45 a 54,Aprobado
L-2025-1672,M,Lomas de Zamora,35,"6,43",Empleo informal,Secundario completo,Si,35 a 44,Aprobado
L-2025-1673,M,La Matanza,34,"7,46",Ama de casa / tareas de cuidado,Terciario completo,Si,25 a 34,Aprobado
L-2025-1674,M,Avellaneda,36,"5,74",Monotributista / independiente,Secundario completo,Si,18 a 24,Desaprobado
L-2025-1675,M,Lomas de Zamora,36,"10,00",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Destacado
L-2025-1676,M,Lanús,37,"6,44",Monotributista / independiente,Secundario incompleto,No,55 y más,Aprobado
L-2025-1677,F,La Plata,35,"8,70",Monotributista / independiente,Secundario completo,Si,25 a 34,Aprobado
L-2025-1678,F,Mar del Plata,22,"9,82",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Destacado
L-2025-1679,M,Avellaneda,33,"6,28",Empleo informal,Primario incompleto,No,35 a 44,Aprobado
L-2025-1680,M,La Matanza,38,"4,33",Empleo informal,Universitario incompleto,Si,18 a 24,Desaprobado
L-2025-1681,F,Quilmes,35,"4,77",Monotributista / independiente,Secundario completo,Si,35 a 44,Desaprobado
L-2025-1682,M,Lomas de Zamora,34,"6,03",Empleo informal,Primario incompleto,Si,35 a 44,Aprobado
L-2025-1683,M,La Matanza,33,"5,53",Empleado en relación de dependencia,Sin escolaridad formal,Si,35 a 44,Desaprobado
L-2025-1684,M,Merlo,36,"9,34",Empleado en relación de dependencia,Universitario incompleto,Si,25 a 34,Destacado
L-2025-1685,F,Lanús,35,"6,97",Empleo informal,Secundario completo,Si,35 a 44,Aprobado
L-2025-1686,F,Lomas de Zamora,32,"4,46",Empleo informal,Sin escolaridad formal,No,25 a 34,Destacado
L-2025-1687,F,Quilmes,31,"9,15",Desempleado,Secundario incompleto,Si,25 a 34,Destacado
L-2025-1688,F,Mar del Plata,33,"9,07",Empleo informal,Primario completo,Si,25 a 34,Destacado
L-2025-1689,M,Lanús,30,"6,98",Desempleado,Secundario completo,Si,25 a 34,Aprobado
L-2025-1690,M,Mar del Plata,34,"7,32",Empleado en relación de dependencia,Secundario completo,Si,18 a 24,Aprobado
L-2025-1691,M,Lomas de Zamora,33,"9,16",Empleo informal,Universitario incompleto,Si,25 a 34,Destacado
L-2025-1692,M,La Matanza,37,"9,23",Monotributista / independiente,Secundario completo,No,25 a 34,Destacado
L-2025-1693,F,General San Martín,37,"5,80",Desempleado,Secundario incompleto,Si,35 a 44,Desaprobado
L-2025-1694,F,Avellaneda,32,"8,39",Monotributista / independiente,Universitario completo,Si,25 a 34,Aprobado
L-2025-1695,M,La Matanza,37,"10,00",Empleado en relación de dependencia,Universitario completo,No,25 a 34,Destacado
L-2025-1696,M,Mar del Plata,33,"8,69",Monotributista / independiente,Terciario completo,Si,25 a 34,Aprobado
L-2025-1697,F,Lomas de Zamora,35,"4,51",Desempleado,Secundario incompleto,Si,35 a 44,Desaprobado
L-2025-1698,F,La Plata,34,"2,34",Desempleado,Universitario completo,Si,55 y más,Desaprobado
L-2025-1699,F,General San Martín,34,"7,36",Desempleado,Secundario incompleto,Si,18 a 24,Aprobado
L-2025-1700,F,La Plata,38,"8,42",Desempleado,Secundario incompleto,Si,55 y más,Aprobado
L-2025-1701,M,La Plata,36,"4,22",Monotributista / independiente,Secundario completo,Si,18 a 24,Desaprobado
L-2025-1702,F,Lomas de Zamora,34,"10,00",Empleado en relación de dependencia,Secundario completo,Si,45 a 54,Destacado
L-2025-1703,M,Quilmes,32,"8,74",Empleado en relación de dependencia,Terciario completo,Si,25 a 34,Aprobado
L-2025-1704,F,La Matanza,34,"9,60",Monotributista / independiente,Secundario completo,Si,45 a 54,Destacado
L-2025-1705,F,Quilmes,33,"7,33",Empleo informal,Secundario incompleto,Si,18 a 24,Aprobado
L-2025-1706,M,La Matanza,35,"9,72",Empleo informal,Terciario completo,Si,25 a 34,Destacado
L-2025-1707,M,La Plata,36,"7,85",Desempleado,Primario completo,Si,25 a 34,Aprobado
L-2025-1708,M,General San Martín,34,"6,80",Empleado en relación de dependencia,Sin escolaridad formal,Si,18 a 24,Aprobado
L-2025-1709,M,Almirante Brown,33,"5,56",Ama de casa / tareas de cuidado,Secundario completo,No,35 a 44,Desaprobado
L-2025-1710,F,Quilmes,36,"5,27",Empleo informal,Secundario completo,Si,35 a 44,Desaprobado
L-2025-1711,F,La Matanza,35,"7,65",Monotributista / independiente,Universitario completo,Si,25 a 34,Aprobado
L-2025-1712,M,Quilmes,15,"5,87",Empleado en relación de dependencia,Primario completo,Si,35 a 44,Desaprobado
L-2025-1713,M,Quilmes,34,"5,15",Empleo informal,Universitario incompleto,No,45 a 54,Desaprobado
L-2025-1714,M,Lanús,36,"8,32",Monotributista / independiente,Secundario completo,Si,25 a 34,Aprobado
L-2025-1715,M,Almirante Brown,30,"9,01",Ama de casa / tareas de cuidado,Secundario completo,Si,25 a 34,Destacado
L-2025-1716,M,Lomas de Zamora,37,"6,13",Desempleado,Secundario incompleto,Si,18 a 24,Aprobado
L-2025-1717,F,Merlo,18,"7,13",Ama de casa / tareas de cuidado,Universitario incompleto,Si,45 a 54,Aprobado
L-2025-1718,M,General San Martín,35,"7,85",Desempleado,Secundario completo,Si,25 a 34,Aprobado
L-2025-1719,M,Lomas de Zamora,36,"4,98",Empleo informal,Secundario completo,Si,55 y más,Desaprobado
L-2025-1720,M,Quilmes,33,"9,13",Desempleado,Secundario completo,Si,25 a 34,Destacado
L-2025-1721,M,Mar del Plata,37,"4,58",Monotributista / independiente,Secundario completo,Si,35 a 44,Desaprobado
L-2025-1722,M,Quilmes,15,"7,85",Empleado en relación de dependencia,Secundario completo,Si,45 a 54,Aprobado
L-2025-1723,M,Lanús,35,"8,15",Desempleado,Terciario completo,Si,25 a 34,Aprobado
L-2025-1724,M,Quilmes,34,"7,61",Empleado en relación de dependencia,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1725,F,Lomas de Zamora,34,"8,56",Empleado en relación de dependencia,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1726,F,La Matanza,33,"8,72",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Aprobado
L-2025-1727,M,La Plata,36,"8,77",Empleo informal,Secundario completo,No,45 a 54,Aprobado
L-2025-1728,F,General San Martín,32,"8,47",Empleo informal,Terciario completo,Si,25 a 34,Aprobado
L-2025-1729,F,General San Martín,34,"8,63",Ama de casa / tareas de cuidado,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1730,M,La Matanza,33,"6,93",Empleado en relación de dependencia,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1731,M,La Plata,37,"6,84",Monotributista / independiente,Secundario completo,Si,18 a 24,Aprobado
L-2025-1732,F,General San Martín,20,"8,87",Ama de casa / tareas de cuidado,Secundario completo,Si,25 a 34,Aprobado
L-2025-1733,F,La Matanza,33,"6,98",Monotributista / independiente,Secundario completo,Si,25 a 34,Aprobado
L-2025-1734,F,La Plata,36,"9,39",Monotributista / independiente,Secundario completo,Si,25 a 34,Destacado
L-2025-1735,F,La Matanza,36,"7,66",Desempleado,Sin escolaridad formal,Si,25 a 34,Aprobado
L-2025-1736,F,Lomas de Zamora,31,"5,58",Empleado en relación de dependencia,Primario completo,Si,35 a 44,Desaprobado
L-2025-1737,F,La Matanza,31,"8,86",Ama de casa / tareas de cuidado,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1738,F,Mar del Plata,35,"3,40",Empleo informal,Secundario completo,Si,55 y más,Desaprobado
L-2025-1739,M,La Plata,37,"6,07",No declara,Terciario completo,No,35 a 44,Aprobado
L-2025-1740,M,Quilmes,33,"9,50",Ama de casa / tareas de cuidado,Universitario incompleto,Si,45 a 54,Destacado
L-2025-1741,M,Mar del Plata,38,"6,56",Desempleado,Terciario en curso,No,35 a 44,Aprobado
L-2025-1742,F,Quilmes,35,"7,21",Desempleado,Secundario incompleto,No,45 a 54,Aprobado
L-2025-1743,M,Lomas de Zamora,35,"5,48",Monotributista / independiente,Secundario completo,No,35 a 44,Desaprobado
L-2025-1744,M,Lanús,39,"10,00",Monotributista / independiente,Secundario completo,Si,45 a 54,Destacado
L-2025-1745,F,Mar del Plata,35,"6,31",Ama de casa / tareas de cuidado,Secundario incompleto,Si,35 a 44,Aprobado
L-2025-1746,F,La Matanza,35,"5,63",Empleado en relación de dependencia,Secundario incompleto,No,35 a 44,Desaprobado
L-2025-1747,M,La Matanza,36,"6,31",Monotributista / independiente,Secundario incompleto,Si,55 y más,Aprobado
L-2025-1748,F,Quilmes,34,"8,17",Monotributista / independiente,Terciario en curso,Si,25 a 34,Aprobado
L-2025-1749,F,Lanús,31,"5,94",Ama de casa / tareas de cuidado,Secundario incompleto,Si,35 a 44,Desaprobado
L-2025-1750,F,Lanús,35,"8,38",Monotributista / independiente,Secundario incompleto,Si,45 a 54,Aprobado
L-2025-1751,M,Lomas de Zamora,39,"4,12",Empleo informal,Secundario incompleto,Si,18 a 24,Destacado
L-2025-1752,F,General San Martín,34,"8,97",Empleo informal,Secundario completo,Si,25 a 34,Aprobado
L-2025-1753,F,La Matanza,35,"4,67",Desempleado,Secundario completo,Si,35 a 44,Desaprobado
L-2025-1754,F,La Matanza,39,"4,46",Empleo informal,Secundario incompleto,Si,45 a 54,Destacado
L-2025-1755,M,La Matanza,38,"7,15",Monotributista / independiente,Primario completo,Si,45 a 54,Aprobado
L-2025-1756,F,Mar del Plata,37,"8,70",Desempleado,Secundario incompleto,Si,45 a 54,Aprobado
L-2025-1757,F,La Matanza,36,"5,36",Empleo informal,Universitario incompleto,Si,35 a 44,Desaprobado
L-2025-1758,M,Mar del Plata,31,"7,74",Empleado en relación de dependencia,Universitario incompleto,Si,35 a 44,Aprobado
L-2025-1759,M,Quilmes,37,"5,89",Empleo informal,Secundario incompleto,Si,35 a 44,Desaprobado
